side,entry_date,exit_date,reason_in,reason_out,entry,exit,qty,pnl,pnl_pct_equity,equity_after
long,2020-04-30,2020-05-10,regime_cross,stop,8784.05,8090.83,0.1873,-131.11,-2.62,4868.89
long,2020-06-02,2020-06-15,breakout_20d,stop,10232.41,8931.92,0.149755,-195.9,-4.02,4672.99
long,2020-07-23,2020-09-03,breakout_20d,stop,9518.25,10797.03,0.358129,455.06,9.74,5128.05
long,2020-10-11,2021-01-22,breakout_20d,stop,11294.78,29925.41,0.254224,4732.17,92.28,9860.22
long,2021-02-06,2021-02-28,breakout_20d,stop,38357.17,43620.53,0.051692,270.38,2.74,10130.6
long,2021-03-12,2021-04-18,breakout_20d,stop,57842.64,52277.96,0.041855,-234.76,-2.32,9895.84
long,2021-05-09,2021-05-12,breakout_20d,stop,58926.36,50490.06,0.04692,-397.89,-4.02,9497.95
short,2021-05-20,2021-07-26,regime_cross,stop,36689.14,37055.51,0.031227,-12.36,-0.13,9485.59
long,2021-08-10,2021-09-07,regime_cross,stop,46259.7,43935.2,0.056101,-132.43,-1.4,9353.16
short,2021-09-11,2021-09-15,regime_cross,regime_flip_up,44860.83,47087.18,0.054196,-122.65,-1.31,9230.51
short,2021-09-21,2021-10-02,regime_cross,regime_flip_up,43026.61,48123.93,0.058876,-302.26,-3.27,8928.25
long,2021-10-05,2021-11-19,breakout_20d,stop,49199.78,55921.7,0.054874,366.55,4.11,9294.8
short,2021-12-30,2022-02-07,regime_cross,stop,46436.53,43388.66,0.058096,174.98,1.88,9469.78
short,2022-04-12,2022-07-20,breakdown_20d,stop,39505.6,23863.65,0.080447,1256.31,13.27,10726.09
short,2022-08-20,2022-09-12,breakdown_20d,stop,20825.0,22164.21,0.154149,-209.09,-1.95,10517.01
short,2022-09-22,2022-10-26,breakdown_20d,stop,18447.5,20897.57,0.158309,-390.36,-3.71,10126.65
short,2022-11-09,2022-12-13,breakdown_20d,stop,18533.9,17713.71,0.187471,151.04,1.49,10277.69
short,2022-12-20,2023-01-11,breakdown_20d,stop,16429.2,17643.41,0.309217,-379.67,-3.69,9898.02
long,2023-01-14,2023-03-08,regime_cross,stop,19924.3,21607.9,0.343074,571.9,5.78,10469.92
long,2023-03-15,2023-05-12,breakout_20d,stop,24682.5,26658.78,0.141681,277.09,2.65,10747.01
long,2023-05-29,2023-06-05,breakout_20d,stop,28055.8,25862.22,0.195972,-434.11,-4.04,10312.91
long,2023-06-21,2023-08-01,breakout_20d,stop,28290.7,28859.39,0.172788,94.31,0.91,10407.22
short,2023-08-18,2023-10-01,regime_cross,stop,26609.7,27618.82,0.203835,-210.12,-2.02,10197.1
long,2023-10-20,2024-01-22,regime_cross,stop,28697.0,39606.2,0.19508,2122.84,20.82,12319.94
long,2024-02-08,2024-04-13,breakout_20d,stop,44326.3,60384.74,0.139399,2232.7,18.12,14552.64
long,2024-05-16,2024-06-21,breakout_20d,stop,66175.4,63468.4,0.081185,-223.98,-1.54,14328.66
short,2024-07-05,2024-07-15,regime_cross,regime_flip_up,57045.9,60766.0,0.107652,-405.55,-2.83,13923.11
long,2024-07-16,2024-08-04,breakout_20d,stop,64680.6,58632.84,0.088942,-542.29,-3.89,13380.82
short,2024-08-05,2024-08-23,regime_cross,stop,58144.5,64927.2,0.078912,-539.12,-4.03,12841.71
short,2024-09-02,2024-09-19,breakdown_20d,stop,57268.1,63172.19,0.0797,-474.4,-3.69,12367.31
long,2024-09-27,2024-10-02,regime_cross,regime_flip_down,65139.1,60776.7,0.087903,-387.9,-3.14,11979.41
short,2024-10-10,2024-10-14,breakdown_20d,stop,60606.3,65591.36,0.096122,-484.03,-4.04,11495.38
long,2024-10-15,2025-01-09,regime_cross,stop,66064.9,92343.2,0.086232,2260.55,19.66,13755.94
long,2025-01-18,2025-02-03,breakout_20d,stop,104042.6,94326.26,0.05663,-554.73,-4.03,13201.21
short,2025-03-10,2025-03-20,regime_cross,regime_flip_up,80690.7,86809.8,0.043014,-266.09,-2.02,12935.12
short,2025-03-30,2025-04-22,regime_cross,stop,82604.8,88947.56,0.060067,-385.11,-2.98,12550.01
long,2025-04-23,2025-06-05,regime_cross,stop,93404.9,100781.03,0.058105,424.08,3.38,12974.09
long,2025-07-03,2025-08-22,breakout_20d,stop,108800.0,111864.16,0.074896,222.88,1.72,13196.97
long,2025-09-13,2025-09-25,breakout_20d,stop,115978.4,109265.65,0.078638,-534.96,-4.05,12662.01
long,2025-10-02,2025-10-10,breakout_20d,stop,118552.0,113635.22,0.079017,-395.85,-3.13,12266.16
short,2025-11-04,2026-01-05,regime_cross,stop,106544.0,94531.19,0.053085,633.43,5.16,12899.59
short,2026-01-26,2026-03-17,breakdown_20d,stop,86628.9,74957.45,0.08328,966.62,7.49,13866.21
short,2026-03-30,2026-04-09,breakdown_20d,stop,65978.0,72983.36,0.079175,-559.05,-4.03,13307.16
short,2026-05-23,2026-07-20,breakdown_20d,stop,75513.1,65777.51,0.105408,1020.25,7.67,14327.41
