side,entry_date,exit_date,reason_in,reason_out,entry,exit,qty,pnl,pnl_pct_equity,equity_after
long,2020-04-30,2020-05-10,regime_cross,stop,8784.05,8090.83,0.1873,-131.11,-2.62,4868.89
long,2020-06-02,2020-06-15,breakout_20d,stop,10232.41,8931.92,0.149755,-195.9,-4.02,4672.99
long,2020-07-23,2020-09-03,breakout_20d,stop,9518.25,10797.03,0.358129,455.06,9.74,5128.05
long,2020-10-11,2021-01-22,breakout_20d,stop,11294.78,29925.41,0.254224,4732.17,92.28,9860.22
long,2021-02-06,2021-02-28,breakout_20d,stop,38357.17,43620.53,0.051692,270.38,2.74,10130.6
long,2021-03-12,2021-04-18,breakout_20d,stop,57842.64,52277.96,0.041855,-234.76,-2.32,9895.84
long,2021-05-09,2021-05-12,breakout_20d,stop,58926.36,50490.06,0.04692,-397.89,-4.02,9497.95
long,2021-08-10,2021-09-07,regime_cross,stop,46259.7,43935.2,0.056174,-132.6,-1.4,9365.35
long,2021-09-15,2021-09-21,regime_cross,regime_flip_down,47087.18,43026.61,0.056385,-230.99,-2.47,9134.36
long,2021-10-02,2021-11-19,regime_cross,stop,48123.93,55921.7,0.052995,411.04,4.5,9545.4
long,2023-01-14,2023-03-08,regime_cross,stop,19924.3,21607.9,0.330852,551.52,5.78,10096.92
long,2023-03-15,2023-05-12,breakout_20d,stop,24682.5,26658.78,0.136634,267.22,2.65,10364.15
long,2023-05-29,2023-06-05,breakout_20d,stop,28055.8,25862.22,0.188991,-418.64,-4.04,9945.5
long,2023-06-21,2023-08-01,breakout_20d,stop,28290.7,28859.39,0.166633,90.95,0.91,10036.46
long,2023-10-20,2024-01-22,regime_cross,stop,28697.0,39606.2,0.192007,2089.4,20.82,12125.85
long,2024-02-08,2024-04-13,breakout_20d,stop,44326.3,60384.74,0.137203,2197.52,18.12,14323.38
long,2024-05-16,2024-06-21,breakout_20d,stop,66175.4,63468.4,0.079906,-220.45,-1.54,14102.93
long,2024-07-15,2024-08-04,regime_cross,stop,60766.0,58632.84,0.095188,-207.6,-1.47,13895.33
long,2024-09-27,2024-10-02,regime_cross,regime_flip_down,65139.1,60776.7,0.098764,-435.82,-3.14,13459.51
long,2024-10-15,2025-01-09,regime_cross,stop,66064.9,92343.2,0.100965,2646.8,19.66,16106.3
long,2025-01-18,2025-02-03,breakout_20d,stop,104042.6,94326.26,0.066306,-649.51,-4.03,15456.79
long,2025-03-20,2025-03-30,regime_cross,regime_flip_down,86809.8,82604.8,0.05691,-243.16,-1.57,15213.63
long,2025-04-23,2025-06-05,regime_cross,stop,93404.9,100781.03,0.070438,514.09,3.38,15727.71
long,2025-07-03,2025-08-22,breakout_20d,stop,108800.0,111864.16,0.090792,270.19,1.72,15997.9
long,2025-09-13,2025-09-25,breakout_20d,stop,115978.4,109265.65,0.095328,-648.5,-4.05,15349.4
long,2025-10-02,2025-10-10,breakout_20d,stop,118552.0,113635.22,0.095788,-479.86,-3.13,14869.53
