side,entry_date,exit_date,reason_in,reason_out,entry,exit,qty,pnl,pnl_pct_equity,equity_after
short,2021-05-20,2021-07-26,regime_cross,stop,36689.14,37055.51,0.016439,-6.51,-0.13,4993.49
short,2021-09-11,2021-09-15,regime_cross,regime_flip_up,44860.83,47087.18,0.028934,-65.48,-1.31,4928.01
short,2021-09-21,2021-10-02,regime_cross,regime_flip_up,43026.61,48123.93,0.031433,-161.37,-3.27,4766.64
short,2021-12-30,2022-02-07,regime_cross,stop,46436.53,43388.66,0.029793,89.74,1.88,4856.38
short,2022-04-12,2022-07-20,breakdown_20d,stop,39505.6,23863.65,0.041256,644.27,13.27,5500.65
short,2022-08-20,2022-09-12,breakdown_20d,stop,20825.0,22164.21,0.079052,-107.23,-1.95,5393.42
short,2022-09-22,2022-10-26,breakdown_20d,stop,18447.5,20897.57,0.081185,-200.19,-3.71,5193.24
short,2022-11-09,2022-12-13,breakdown_20d,stop,18533.9,17713.71,0.096141,77.46,1.49,5270.7
short,2022-12-20,2023-01-11,breakdown_20d,stop,16429.2,17643.41,0.158575,-194.71,-3.69,5075.99
short,2023-08-18,2023-10-01,regime_cross,stop,26609.7,27618.82,0.099418,-102.48,-2.02,4973.51
short,2024-07-05,2024-07-15,regime_cross,regime_flip_up,57045.9,60766.0,0.037366,-140.77,-2.83,4832.74
short,2024-08-05,2024-08-23,regime_cross,stop,58144.5,64927.2,0.0285,-194.71,-4.03,4638.03
short,2024-09-02,2024-09-19,breakdown_20d,stop,57268.1,63172.19,0.028785,-171.34,-3.69,4466.69
short,2024-10-02,2024-10-14,regime_cross,stop,60776.7,66274.45,0.032498,-180.32,-4.04,4286.37
short,2025-03-10,2025-03-20,regime_cross,regime_flip_up,80690.7,86809.8,0.013966,-86.4,-2.02,4199.97
short,2025-03-30,2025-04-22,regime_cross,stop,82604.8,88947.56,0.019503,-125.04,-2.98,4074.93
short,2025-11-04,2026-01-05,regime_cross,stop,106544.0,94531.19,0.017635,210.43,5.16,4285.36
short,2026-01-26,2026-03-17,breakdown_20d,stop,86628.9,74957.45,0.027666,321.12,7.49,4606.48
short,2026-03-30,2026-04-09,breakdown_20d,stop,65978.0,72983.36,0.026303,-185.72,-4.03,4420.76
short,2026-05-23,2026-07-20,breakdown_20d,stop,75513.1,65777.51,0.035018,338.94,7.67,4759.7
